Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
Pony_Unit_TrashPanda_Essence_Key,Text,,,,,* Runs away *,* Runs away *,* Runs away *,* Runs away *,* Runs away *,* Runs away *
Pony_Unit_TrashPanda_Chatter_Added_1_Key,Text,,,,,"Hiss!","Hiss!","Hiss!","Hiss!","Hiss!","Hiss!"
Pony_Unit_TrashPanda_Chatter_Attacking_1_Key,Text,,,,,"Screech!","Screech!","Screech!","Screech!","Screech!","Screech!"
Pony_Unit_TrashPanda_Chatter_Slayed_1_Key,Text,,,,,"Whimper.","Whimper.","Whimper.","Whimper.","Whimper.","Whimper."
Pony_Unit_TrashPanda_Chatter_Idle_1_Key,Text,,,,,"* Shuffle *","* Shuffle *","* Shuffle *","* Shuffle *","* Shuffle *","* Shuffle *"
Pony_Unit_TrashPanda_Chatter_Idle_2_Key,Text,,,,,"...","...","...","...","...","..."
Pony_Unit_TrashPanda_Chatter_Idle_3_Key,Text,,,,,"Growl.","Growl.","Growl.","Growl.","Growl.","Growl."
Pony_Unit_HeartsDesire_Name_Key,Text,,,,,Heart's Desire,Heart's Desire,Heart's Desire,Heart's Desire,Heart's Desire,Heart's Desire
Pony_Unit_HeartsDesire_Lore_Key,Text,,,,,"This rare, magical herb interacts with a pony's natural magic to unlock hidden potential, but it must be handled carefully as the heart is often fickle. Too much of a good thing can lead to dire consequences.","This rare, magical herb interacts with a pony's natural magic to unlock hidden potential, but it must be handled carefully as the heart is often fickle. Too much of a good thing can lead to dire consequences.","This rare, magical herb interacts with a pony's natural magic to unlock hidden potential, but it must be handled carefully as the heart is often fickle. Too much of a good thing can lead to dire consequences.","This rare, magical herb interacts with a pony's natural magic to unlock hidden potential, but it must be handled carefully as the heart is often fickle. Too much of a good thing can lead to dire consequences.","This rare, magical herb interacts with a pony's natural magic to unlock hidden potential, but it must be handled carefully as the heart is often fickle. Too much of a good thing can lead to dire consequences.","This rare, magical herb interacts with a pony's natural magic to unlock hidden potential, but it must be handled carefully as the heart is often fickle. Too much of a good thing can lead to dire consequences."
Pony_Unit_HeartsDesire_Essence_Key,Text,,,,,"0[ember], +3<sprite name=""Xcost"">, -5[size], and <b>Emberdrain 2</b>.","0[ember], +3<sprite name=""Xcost"">, -5[size], and <b>Emberdrain 2</b>.","0[ember], +3<sprite name=""Xcost"">, -5[size], and <b>Emberdrain 2</b>.","0[ember], +3<sprite name=""Xcost"">, -5[size], and <b>Emberdrain 2</b>.","0[ember], +3<sprite name=""Xcost"">, -5[size], and <b>Emberdrain 2</b>.","0[ember], +3<sprite name=""Xcost"">, -5[size], and <b>Emberdrain 2</b>."
Pony_Unit_HeartsDesire_Room_Description_Key,Text,,,,,<br>-2[ember] for all cards played on this floor.,<br>-2[ember] for all cards played on this floor.,<br>-2[ember] for all cards played on this floor.,<br>-2[ember] for all cards played on this floor.,<br>-2[ember] for all cards played on this floor.,<br>-2[ember] for all cards played on this floor.
Pony_Unit_HeartsDesire_Trigger_Description_Key,Text,,,,,<nobr><b>Emberdrain {[effect0.status0.power]}</b>.</nobr>,<nobr><b>Emberdrain {[effect0.status0.power]}</b>.</nobr>,<nobr><b>Emberdrain {[effect0.status0.power]}</b>.</nobr>,<nobr><b>Emberdrain {[effect0.status0.power]}</b>.</nobr>,<nobr><b>Emberdrain {[effect0.status0.power]}</b>.</nobr>,<nobr><b>Emberdrain {[effect0.status0.power]}</b>.</nobr>
Pony_Unit_HeartsDesire_Room_TooltipBody_Key,Text,,,,,-2[ember] for all cards played on this floor.,-2[ember] for all cards played on this floor.,-2[ember] for all cards played on this floor.,-2[ember] for all cards played on this floor.,-2[ember] for all cards played on this floor.,-2[ember] for all cards played on this floor.
Pony_Unit_HeartsDesire_Room_TooltipTitle_Key,Text,,,,,Heart's Desire,Heart's Desire,Heart's Desire,Heart's Desire,Heart's Desire,Heart's Desire
Pony_Unit_PoisonJoke_Name_Key,Text,,,,,Poison Joke,Poison Joke,Poison Joke,Poison Joke,Poison Joke,Poison Joke
Pony_Unit_PoisonJoke_Trigger0_Description_Key,Text,,,,,Friendly units gain +{[effect0.upgrade.bonusdamage]}[attack] and <b>Sap {[effect1.status0.power]}</b>.,Friendly units gain +{[effect0.upgrade.bonusdamage]}[attack] and <b>Sap {[effect1.status0.power]}</b>.,Friendly units gain +{[effect0.upgrade.bonusdamage]}[attack] and <b>Sap {[effect1.status0.power]}</b>.,Friendly units gain +{[effect0.upgrade.bonusdamage]}[attack] and <b>Sap {[effect1.status0.power]}</b>.,Friendly units gain +{[effect0.upgrade.bonusdamage]}[attack] and <b>Sap {[effect1.status0.power]}</b>.,Friendly units gain +{[effect0.upgrade.bonusdamage]}[attack] and <b>Sap {[effect1.status0.power]}</b>.
Pony_Unit_PoisonJoke_Trigger1_Description_Key,Text,,,,,<nobr><b>Dazed {[effect0.status0.power]}</b></nobr>.,<nobr><b>Dazed {[effect0.status0.power]}</b></nobr>.,<nobr><b>Dazed {[effect0.status0.power]}</b></nobr>.,<nobr><b>Dazed {[effect0.status0.power]}</b></nobr>.,<nobr><b>Dazed {[effect0.status0.power]}</b></nobr>.,<nobr><b>Dazed {[effect0.status0.power]}</b></nobr>.
Pony_Unit_PoisonJoke_Lore_Key,Text,,,,,This toxic plant can inflict pun-themed ailments upon only the briefest contact. To bring such a thing to battle in hopes of getting any kind of benefit from it reeks of desperation.,This toxic plant can inflict pun-themed ailments upon only the briefest contact. To bring such a thing to battle in hopes of getting any kind of benefit from it reeks of desperation.,This toxic plant can inflict pun-themed ailments upon only the briefest contact. To bring such a thing to battle in hopes of getting any kind of benefit from it reeks of desperation.,This toxic plant can inflict pun-themed ailments upon only the briefest contact. To bring such a thing to battle in hopes of getting any kind of benefit from it reeks of desperation.,This toxic plant can inflict pun-themed ailments upon only the briefest contact. To bring such a thing to battle in hopes of getting any kind of benefit from it reeks of desperation.,This toxic plant can inflict pun-themed ailments upon only the briefest contact. To bring such a thing to battle in hopes of getting any kind of benefit from it reeks of desperation.
Pony_Unit_PoisonJoke_Essence_Key,Text,,,,,"+40[attack], <b>Sap 20</b>, and <b>Dazed 1</b>.","+40[attack], <b>Sap 20</b>, and <b>Dazed 1</b>.","+40[attack], <b>Sap 20</b>, and <b>Dazed 1</b>.","+40[attack], <b>Sap 20</b>, and <b>Dazed 1</b>.","+40[attack], <b>Sap 20</b>, and <b>Dazed 1</b>.","+40[attack], <b>Sap 20</b>, and <b>Dazed 1</b>."
Pony_Unit_YoLo_Name_Key,Text,,,,,Yo Lo,Yo Lo,Yo Lo,Yo Lo,Yo Lo,Yo Lo
Pony_Unit_YoLo_Description_Key,Text,,,,,<b>Multistrike [x]</b>.,<b>Multistrike [x]</b>.,<b>Multistrike [x]</b>.,<b>Multistrike [x]</b>.,<b>Multistrike [x]</b>.,<b>Multistrike [x]</b>.
Pony_Unit_YoLo_Lore_Key,Text,,,,,"All things considered, sneaking onto the Boneshaker with her friends wasn't even Yo Lo's worst idea. No. That would be the time she electrified a toilet so that ponies could charge their cell phones while they peed.","All things considered, sneaking onto the Boneshaker with her friends wasn't even Yo Lo's worst idea. No. That would be the time she electrified a toilet so that ponies could charge their cell phones while they peed.","All things considered, sneaking onto the Boneshaker with her friends wasn't even Yo Lo's worst idea. No. That would be the time she electrified a toilet so that ponies could charge their cell phones while they peed.","All things considered, sneaking onto the Boneshaker with her friends wasn't even Yo Lo's worst idea. No. That would be the time she electrified a toilet so that ponies could charge their cell phones while they peed.","All things considered, sneaking onto the Boneshaker with her friends wasn't even Yo Lo's worst idea. No. That would be the time she electrified a toilet so that ponies could charge their cell phones while they peed.","All things considered, sneaking onto the Boneshaker with her friends wasn't even Yo Lo's worst idea. No. That would be the time she electrified a toilet so that ponies could charge their cell phones while they peed."
Pony_Unit_YoLo_Essence_Key,Text,,,,,"Somepony, anypony, HELP!","Somepony, anypony, HELP!","Somepony, anypony, HELP!","Somepony, anypony, HELP!","Somepony, anypony, HELP!","Somepony, anypony, HELP!"
Pony_Unit_YoLo_Chatter_Added_1_Key,Text,,,,,"Here I am to save the day!","Here I am to save the day!","Here I am to save the day!","Here I am to save the day!","Here I am to save the day!","Here I am to save the day!"
Pony_Unit_YoLo_Chatter_Attacking_1_Key,Text,,,,,"Take that and that and that!","Take that and that and that!","Take that and that and that!","Take that and that and that!","Take that and that and that!","Take that and that and that!"
Pony_Unit_YoLo_Chatter_Slayed_1_Key,Text,,,,,"Wipe out!","Wipe out!","Wipe out!","Wipe out!","Wipe out!","Wipe out!"
Pony_Unit_YoLo_Chatter_Idle_1_Key,Text,,,,,"Worst field trip ever.","Worst field trip ever.","Worst field trip ever.","Worst field trip ever.","Worst field trip ever.","Worst field trip ever."
Pony_Unit_YoLo_Chatter_Idle_2_Key,Text,,,,,"I'd better get extra credit for this.","I'd better get extra credit for this.","I'd better get extra credit for this.","I'd better get extra credit for this.","I'd better get extra credit for this.","I'd better get extra credit for this."
Pony_Unit_YoLo_Chatter_Idle_3_Key,Text,,,,,"Look at me go!","Look at me go!","Look at me go!","Look at me go!","Look at me go!","Look at me go!"
Pony_Unit_YoLo_Chatter_Idle_4_Key,Text,,,,,"Let me at 'em!","Let me at 'em!","Let me at 'em!","Let me at 'em!","Let me at 'em!","Let me at 'em!"
Pony_Unit_YoLo_Chatter_Idle_5_Key,Text,,,,,"Is school canceled tomorrow?","Is school canceled tomorrow?","Is school canceled tomorrow?","Is school canceled tomorrow?","Is school canceled tomorrow?","Is school canceled tomorrow?"
Pony_Unit_YoLo_Chatter_Idle_6_Key,Text,,,,,"If things go wrong, it's not my fault!","If things go wrong, it's not my fault!","If things go wrong, it's not my fault!","If things go wrong, it's not my fault!","If things go wrong, it's not my fault!","If things go wrong, it's not my fault!"
Pony_Unit_YoLo_Chatter_Idle_7_Key,Text,,,,,"Girls, we need to stick together!","Girls, we need to stick together!","Girls, we need to stick together!","Girls, we need to stick together!","Girls, we need to stick together!","Girls, we need to stick together!"
Pony_Unit_YoLo_Chatter_Idle_8_Key,Text,,,,,"Where one goes, we all go!","Where one goes, we all go!","Where one goes, we all go!","Where one goes, we all go!","Where one goes, we all go!","Where one goes, we all go!"
Pony_Unit_YoLo_Chatter_Idle_9_Key,Text,,,,,"Nopony crosses the Filly Flank Friends!","Nopony crosses the Filly Flank Friends!","Nopony crosses the Filly Flank Friends!","Nopony crosses the Filly Flank Friends!","Nopony crosses the Filly Flank Friends!","Nopony crosses the Filly Flank Friends!"
Pony_Unit_Finchy_Name_Key,Text,,,,,Finchy,Finchy,Finchy,Finchy,Finchy,Finchy
Pony_Unit_Finchy_Description_Key,Text,,,,,Gain {[effect0.power]}[coin].,Gain {[effect0.power]}[coin].,Gain {[effect0.power]}[coin].,Gain {[effect0.power]}[coin].,Gain {[effect0.power]}[coin].,Gain {[effect0.power]}[coin].
Pony_Unit_Finchy_Lore_Key,Text,,,,,"Her pursuit of knowledge would be more tolerable if she didn't immediately use everything she learned to cause trouble. Finchy has a knack for dismantling things and little aptitude for putting them back together. It's just a few nuts and bolts here and there, but small pieces of the Boneshaker have gone missing since her arrival.","Her pursuit of knowledge would be more tolerable if she didn't immediately use everything she learned to cause trouble. Finchy has a knack for dismantling things and little aptitude for putting them back together. It's just a few nuts and bolts here and there, but small pieces of the Boneshaker have gone missing since her arrival.","Her pursuit of knowledge would be more tolerable if she didn't immediately use everything she learned to cause trouble. Finchy has a knack for dismantling things and little aptitude for putting them back together. It's just a few nuts and bolts here and there, but small pieces of the Boneshaker have gone missing since her arrival.","Her pursuit of knowledge would be more tolerable if she didn't immediately use everything she learned to cause trouble. Finchy has a knack for dismantling things and little aptitude for putting them back together. It's just a few nuts and bolts here and there, but small pieces of the Boneshaker have gone missing since her arrival.","Her pursuit of knowledge would be more tolerable if she didn't immediately use everything she learned to cause trouble. Finchy has a knack for dismantling things and little aptitude for putting them back together. It's just a few nuts and bolts here and there, but small pieces of the Boneshaker have gone missing since her arrival.","Her pursuit of knowledge would be more tolerable if she didn't immediately use everything she learned to cause trouble. Finchy has a knack for dismantling things and little aptitude for putting them back together. It's just a few nuts and bolts here and there, but small pieces of the Boneshaker have gone missing since her arrival."
Pony_Unit_Finchy_Essence_Key,Text,,,,,No! Don't sacrifice me!,No! Don't sacrifice me!,No! Don't sacrifice me!,No! Don't sacrifice me!,No! Don't sacrifice me!,No! Don't sacrifice me!
Pony_Unit_Finchy_Chatter_Added_1_Key,Text,,,,,"Hi, everypony.","Hi, everypony.","Hi, everypony.","Hi, everypony.","Hi, everypony.","Hi, everypony."
Pony_Unit_Finchy_Chatter_Attacking_1_Key,Text,,,,,"Don't mind me.","Don't mind me.","Don't mind me.","Don't mind me.","Don't mind me.","Don't mind me."
Pony_Unit_Finchy_Chatter_Slayed_1_Key,Text,,,,,"Eeek!","Eeek!","Eeek!","Eeek!","Eeek!","Eeek!"
Pony_Unit_Finchy_Chatter_Idle_1_Key,Text,,,,,"I tried poison joke once and grew a beak like an actual finch.","I tried poison joke once and grew a beak like an actual finch.","I tried poison joke once and grew a beak like an actual finch.","I tried poison joke once and grew a beak like an actual finch.","I tried poison joke once and grew a beak like an actual finch.","I tried poison joke once and grew a beak like an actual finch."
Pony_Unit_Finchy_Chatter_Idle_2_Key,Text,,,,,"Look at all these nuts and bolts I took from the walls!","Look at all these nuts and bolts I took from the walls!","Look at all these nuts and bolts I took from the walls!","Look at all these nuts and bolts I took from the walls!","Look at all these nuts and bolts I took from the walls!","Look at all these nuts and bolts I took from the walls!"
Pony_Unit_Finchy_Chatter_Idle_3_Key,Text,,,,,"Why does the Boneshaker rattle so much?","Why does the Boneshaker rattle so much?","Why does the Boneshaker rattle so much?","Why does the Boneshaker rattle so much?","Why does the Boneshaker rattle so much?","Why does the Boneshaker rattle so much?"
Pony_Unit_Finchy_Chatter_Idle_4_Key,Text,,,,,"Where do babies come from?","Where do babies come from?","Where do babies come from?","Where do babies come from?","Where do babies come from?","Where do babies come from?"
Pony_Unit_Finchy_Chatter_Idle_5_Key,Text,,,,,"Who says Train Stewards aren't toys?","Who says Train Stewards aren't toys?","Who says Train Stewards aren't toys?","Who says Train Stewards aren't toys?","Who says Train Stewards aren't toys?","Who says Train Stewards aren't toys?"
Pony_Unit_Finchy_Chatter_Idle_6_Key,Text,,,,,"I made Yo Lo's roller skates myself.","I made Yo Lo's roller skates myself.","I made Yo Lo's roller skates myself.","I made Yo Lo's roller skates myself.","I made Yo Lo's roller skates myself.","I made Yo Lo's roller skates myself."
Pony_Unit_Finchy_Chatter_Idle_7_Key,Text,,,,,"I will follow my friends to the heart of Hell itself.","I will follow my friends to the heart of Hell itself.","I will follow my friends to the heart of Hell itself.","I will follow my friends to the heart of Hell itself.","I will follow my friends to the heart of Hell itself.","I will follow my friends to the heart of Hell itself."
Pony_Unit_Finchy_Chatter_Idle_8_Key,Text,,,,,"Whoops! Don't worry. I can... break it more.","Whoops! Don't worry. I can... break it more.","Whoops! Don't worry. I can... break it more.","Whoops! Don't worry. I can... break it more.","Whoops! Don't worry. I can... break it more.","Whoops! Don't worry. I can... break it more."
Pony_Unit_Finchy_Chatter_Trigger_OnAttacking_1_Key,Text,,,,,"Mine.","Mine.","Mine.","Mine.","Mine.","Mine."
Pony_Unit_CrunchieMunchie_Name_Key,Text,,,,,Crunchie Munchie,Crunchie Munchie,Crunchie Munchie,Crunchie Munchie,Crunchie Munchie,Crunchie Munchie
Pony_Unit_CrunchieMunchie_Description_Key,Text,,,,,Summon a carrot.,Summon a carrot.,Summon a carrot.,Summon a carrot.,Summon a carrot.,Summon a carrot.
Pony_Unit_CrunchieMunchie_Lore_Key,Text,,,,,"A self-styled journalist and horrid gossip, Crunchie's got the makings of a paparazzi written all over her. She does share some instincts with her elder sister, Snackasmacky, though, for she offered me a carrot in the middle of her interview with no warning or explanation. When I asked about, she said she was hungry and assumed I was too. That's a child's logic for you.","A self-styled journalist and horrid gossip, Crunchie's got the makings of a paparazzi written all over her. She does share some instincts with her elder sister, Snackasmacky, though, for she offered me a carrot in the middle of her interview with no warning or explanation. When I asked about, she said she was hungry and assumed I was too. That's a child's logic for you.","A self-styled journalist and horrid gossip, Crunchie's got the makings of a paparazzi written all over her. She does share some instincts with her elder sister, Snackasmacky, though, for she offered me a carrot in the middle of her interview with no warning or explanation. When I asked about, she said she was hungry and assumed I was too. That's a child's logic for you.","A self-styled journalist and horrid gossip, Crunchie's got the makings of a paparazzi written all over her. She does share some instincts with her elder sister, Snackasmacky, though, for she offered me a carrot in the middle of her interview with no warning or explanation. When I asked about, she said she was hungry and assumed I was too. That's a child's logic for you.","A self-styled journalist and horrid gossip, Crunchie's got the makings of a paparazzi written all over her. She does share some instincts with her elder sister, Snackasmacky, though, for she offered me a carrot in the middle of her interview with no warning or explanation. When I asked about, she said she was hungry and assumed I was too. That's a child's logic for you.","A self-styled journalist and horrid gossip, Crunchie's got the makings of a paparazzi written all over her. She does share some instincts with her elder sister, Snackasmacky, though, for she offered me a carrot in the middle of her interview with no warning or explanation. When I asked about, she said she was hungry and assumed I was too. That's a child's logic for you."
Pony_Unit_CrunchieMunchie_Essence_Key,Text,,,,,I'm too cute to die!,I'm too cute to die!,I'm too cute to die!,I'm too cute to die!,I'm too cute to die!,I'm too cute to die!
Pony_Unit_CrunchieMunchie_AdditionalTooltip_Title_Key,Text,,,,,Carrot,Carrot,Carrot,Carrot,Carrot,Carrot
Pony_Unit_CrunchieMunchie_AdditionalTooltip_Description_Key,Text,,,,,<b>Eaten</b>: Gain 5[health] and heal for 5.,<b>Eaten</b>: Gain 5[health] and heal for 5.,<b>Eaten</b>: Gain 5[health] and heal for 5.,<b>Eaten</b>: Gain 5[health] and heal for 5.,<b>Eaten</b>: Gain 5[health] and heal for 5.,<b>Eaten</b>: Gain 5[health] and heal for 5.
Pony_Unit_CrunchieMunchie_Chatter_Added_1_Key,Text,,,,,"Glad to help!","Glad to help!","Glad to help!","Glad to help!","Glad to help!","Glad to help!"
Pony_Unit_CrunchieMunchie_Chatter_Attacking_1_Key,Text,,,,,"Look! I'm helping!","Look! I'm helping!","Look! I'm helping!","Look! I'm helping!","Look! I'm helping!","Look! I'm helping!"
Pony_Unit_CrunchieMunchie_Chatter_Slayed_1_Key,Text,,,,,"Waaah!","Waaah!","Waaah!","Waaah!","Waaah!","Waaah!"
Pony_Unit_CrunchieMunchie_Chatter_Idle_1_Key,Text,,,,,"Big sis is going to stomp on you.","Big sis is going to stomp on you.","Big sis is going to stomp on you.","Big sis is going to stomp on you.","Big sis is going to stomp on you.","Big sis is going to stomp on you."
Pony_Unit_CrunchieMunchie_Chatter_Idle_2_Key,Text,,,,,"I like Dante. He's funny.","I like Dante. He's funny.","I like Dante. He's funny.","I like Dante. He's funny.","I like Dante. He's funny.","I like Dante. He's funny."
Pony_Unit_CrunchieMunchie_Chatter_Idle_3_Key,Text,,,,,"I thought Heph would be bigger.","I thought Heph would be bigger.","I thought Heph would be bigger.","I thought Heph would be bigger.","I thought Heph would be bigger.","I thought Heph would be bigger."
Pony_Unit_CrunchieMunchie_Chatter_Idle_4_Key,Text,,,,,"A glugslider stole my teddy bear. :(","A glugslider stole my teddy bear. :(","A glugslider stole my teddy bear. :(","A glugslider stole my teddy bear. :(","A glugslider stole my teddy bear. :(","A glugslider stole my teddy bear. :("
Pony_Unit_CrunchieMunchie_Chatter_Idle_5_Key,Text,,,,,"Where are we going again?","Where are we going again?","Where are we going again?","Where are we going again?","Where are we going again?","Where are we going again?"
Pony_Unit_CrunchieMunchie_Chatter_Idle_6_Key,Text,,,,,"Would you like a carrot?","Would you like a carrot?","Would you like a carrot?","Would you like a carrot?","Would you like a carrot?","Would you like a carrot?"
Pony_Unit_CrunchieMunchie_Chatter_Idle_7_Key,Text,,,,,"Angel wings are so shiny.","Angel wings are so shiny.","Angel wings are so shiny.","Angel wings are so shiny.","Angel wings are so shiny.","Angel wings are so shiny."
Pony_Unit_CrunchieMunchie_Chatter_Idle_8_Key,Text,,,,,"I wish I had wings.","I wish I had wings.","I wish I had wings.","I wish I had wings.","I wish I had wings.","I wish I had wings."
Pony_Unit_CrunchieMunchie_Chatter_Trigger_PostCombat_1_Key,Text,,,,,"I brought food!","I brought food!","I brought food!","I brought food!","I brought food!","I brought food!"
Pony_Unit_Carrot_Name_Key,Text,,,,,Carrot,Carrot,Carrot,Carrot,Carrot,Carrot
Pony_Unit_Carrot_Trigger_Description_Key,Text,,,,,Gain {[effect0.power]}[health] and restore {[effect1.power]} health.,Gain {[effect0.power]}[health] and restore {[effect1.power]} health.,Gain {[effect0.power]}[health] and restore {[effect1.power]} health.,Gain {[effect0.power]}[health] and restore {[effect1.power]} health.,Gain {[effect0.power]}[health] and restore {[effect1.power]} health.,Gain {[effect0.power]}[health] and restore {[effect1.power]} health.
Pony_Unit_Carrot_Lore_Key,Text,,,,,"One thing that makes Equestria stand out from other mortal worlds is the cuisine. The ponies are herbivorous, preferring a diet similar to horses like apples, carrots, and oats. Be careful, though, because if you don't pay attention to the menu you might accidentally order something inedible like hay.","One thing that makes Equestria stand out from other mortal worlds is the cuisine. The ponies are herbivorous, preferring a diet similar to horses like apples, carrots, and oats. Be careful, though, because if you don't pay attention to the menu you might accidentally order something inedible like hay.","One thing that makes Equestria stand out from other mortal worlds is the cuisine. The ponies are herbivorous, preferring a diet similar to horses like apples, carrots, and oats. Be careful, though, because if you don't pay attention to the menu you might accidentally order something inedible like hay.","One thing that makes Equestria stand out from other mortal worlds is the cuisine. The ponies are herbivorous, preferring a diet similar to horses like apples, carrots, and oats. Be careful, though, because if you don't pay attention to the menu you might accidentally order something inedible like hay.","One thing that makes Equestria stand out from other mortal worlds is the cuisine. The ponies are herbivorous, preferring a diet similar to horses like apples, carrots, and oats. Be careful, though, because if you don't pay attention to the menu you might accidentally order something inedible like hay.","One thing that makes Equestria stand out from other mortal worlds is the cuisine. The ponies are herbivorous, preferring a diet similar to horses like apples, carrots, and oats. Be careful, though, because if you don't pay attention to the menu you might accidentally order something inedible like hay."
Pony_Unit_Carrot_Essence_Key,Text,,,,,Gain the magical power of orange urine.,Gain the magical power of orange urine.,Gain the magical power of orange urine.,Gain the magical power of orange urine.,Gain the magical power of orange urine.,Gain the magical power of orange urine.
Pony_Unit_MissingMare_Name_Key,Text,,,,,"Missing Mare","Missing Mare","Missing Mare","Missing Mare","Missing Mare","Missing Mare"
Pony_Unit_MissingMare_Description_Key,Text,,,,,"Apply <nobr><b>Stealth {[effect0.status0.power]}</b></nobr> to a random friendly unit.","Apply <nobr><b>Stealth {[effect0.status0.power]}</b></nobr> to a random friendly unit.","Apply <nobr><b>Stealth {[effect0.status0.power]}</b></nobr> to a random friendly unit.","Apply <nobr><b>Stealth {[effect0.status0.power]}</b></nobr> to a random friendly unit.","Apply <nobr><b>Stealth {[effect0.status0.power]}</b></nobr> to a random friendly unit.","Apply <nobr><b>Stealth {[effect0.status0.power]}</b></nobr> to a random friendly unit."
Pony_Unit_MissingMare_Lore_Key,Text,,,,,"This lost soul bears a striking resemblance to Mare A Lee, but... No! It can't be! She's not dead! The ponies just got here, right? The only way this makes sense is if this soul's an echo from an alternatine timeline, but...<br><br>Malicka warned me of the loop, but I didn't listen. Oh gods! What have I done!? <i>I've damned them all to Hell!</i>","This lost soul bears a striking resemblance to Mare A Lee, but... No! It can't be! She's not dead! The ponies just got here, right? The only way this makes sense is if this soul's an echo from an alternatine timeline, but...<br><br>Malicka warned me of the loop, but I didn't listen. Oh gods! What have I done!? <i>I've damned them all to Hell!</i>","This lost soul bears a striking resemblance to Mare A Lee, but... No! It can't be! She's not dead! The ponies just got here, right? The only way this makes sense is if this soul's an echo from an alternatine timeline, but...<br><br>Malicka warned me of the loop, but I didn't listen. Oh gods! What have I done!? <i>I've damned them all to Hell!</i>","This lost soul bears a striking resemblance to Mare A Lee, but... No! It can't be! She's not dead! The ponies just got here, right? The only way this makes sense is if this soul's an echo from an alternatine timeline, but...<br><br>Malicka warned me of the loop, but I didn't listen. Oh gods! What have I done!? <i>I've damned them all to Hell!</i>","This lost soul bears a striking resemblance to Mare A Lee, but... No! It can't be! She's not dead! The ponies just got here, right? The only way this makes sense is if this soul's an echo from an alternatine timeline, but...<br><br>Malicka warned me of the loop, but I didn't listen. Oh gods! What have I done!? <i>I've damned them all to Hell!</i>","This lost soul bears a striking resemblance to Mare A Lee, but... No! It can't be! She's not dead! The ponies just got here, right? The only way this makes sense is if this soul's an echo from an alternatine timeline, but...<br><br>Malicka warned me of the loop, but I didn't listen. Oh gods! What have I done!? <i>I've damned them all to Hell!</i>"
Pony_Unit_MissingMare_Essence_Key,Text,,,,,"+15[attack], +5[health], <b>Stealth 1</b>","+15[attack], +5[health], <b>Stealth 1</b>","+15[attack], +5[health], <b>Stealth 1</b>","+15[attack], +5[health], <b>Stealth 1</b>","+15[attack], +5[health], <b>Stealth 1</b>","+15[attack], +5[health], <b>Stealth 1</b>"
Pony_Unit_MissingMare_Chatter_Added_1_Key,Text,,,,,"Nopony expects me.","Nopony expects me.","Nopony expects me.","Nopony expects me.","Nopony expects me.","Nopony expects me."
Pony_Unit_MissingMare_Chatter_Attacking_1_Key,Text,,,,,"You done goofed.","You done goofed.","You done goofed.","You done goofed.","You done goofed.","You done goofed."
Pony_Unit_MissingMare_Chatter_Slayed_1_Key,Text,,,,,"Back to the shadows.","Back to the shadows.","Back to the shadows.","Back to the shadows.","Back to the shadows.","Back to the shadows."
Pony_Unit_MissingMare_Chatter_Idle_1_Key,Text,,,,,"How did you find me?","How did you find me?","How did you find me?","How did you find me?","How did you find me?","How did you find me?"
Pony_Unit_MissingMare_Chatter_Idle_2_Key,Text,,,,,"I shouldn't exist.","I shouldn't exist.","I shouldn't exist.","I shouldn't exist.","I shouldn't exist.","I shouldn't exist."
Pony_Unit_MissingMare_Chatter_Idle_3_Key,Text,,,,,"Am I dead?","Am I dead?","Am I dead?","Am I dead?","Am I dead?","Am I dead?"
Pony_Unit_MissingMare_Chatter_Idle_4_Key,Text,,,,,"Wanna trade a Mew for my MissingNo?","Wanna trade a Mew for my MissingNo?","Wanna trade a Mew for my MissingNo?","Wanna trade a Mew for my MissingNo?","Wanna trade a Mew for my MissingNo?","Wanna trade a Mew for my MissingNo?"
Pony_Unit_MissingMare_Chatter_Idle_5_Key,Text,,,,,"Who am I?","Who am I?","Who am I?","Who am I?","Who am I?","Who am I?"
Pony_Unit_MissingMare_Chatter_Idle_6_Key,Text,,,,,"Let's not worry and just have fun.","Let's not worry and just have fun.","Let's not worry and just have fun.","Let's not worry and just have fun.","Let's not worry and just have fun.","Let's not worry and just have fun."
Pony_Unit_MissingMare_Chatter_Idle_7_Key,Text,,,,,"Am I really a ghost?","Am I really a ghost?","Am I really a ghost?","Am I really a ghost?","Am I really a ghost?","Am I really a ghost?"
Pony_Unit_MissingMare_Chatter_Idle_8_Key,Text,,,,,"Wag your tail and hope for the best.","Wag your tail and hope for the best.","Wag your tail and hope for the best.","Wag your tail and hope for the best.","Wag your tail and hope for the best.","Wag your tail and hope for the best."
Pony_Unit_MissingMare_Chatter_Trigger_OnAttacking_1_Key,Text,,,,,"Poof","Poof","Poof","Poof","Poof","Poof"
,,,,,,,,,,,
,,,,,,,,,,,
Arcadian_Unit_VampireFruitBat_Name_Key,Text,,,,,"Vampire Fruit Bat","Vampire Fruit Bat","Vampire Fruit Bat","Vampire Fruit Bat","Vampire Fruit Bat","Vampire Fruit Bat"
